2024-03-07T00:03:59.236+01:00 r= ip=  INFO 25592 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : Starting SeprIndividualAssignmentApplication using Java 21.0.1 with PID 25592 (/home/ivan/Wendys-Tournament-Management/backend/target/classes started by ivan in /home/ivan/Wendys-Tournament-Management/backend)
2024-03-07T00:03:59.250+01:00 r= ip=  INFO 25592 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2024-03-07T00:25:13.735+01:00 r=abcf88ee964d ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:25:13.741+01:00 r=abcf88ee964d ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=8ms
2024-03-07T00:25:14.041+01:00 r=6492f23e7206 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:25:14.043+01:00 r=6492f23e7206 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:25:14.047+01:00 r=6492f23e7206 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=5ms
2024-03-07T00:27:16.732+01:00 r=195dfb5a2f9c ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:27:16.734+01:00 r=195dfb5a2f9c ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:27:16.738+01:00 r=195dfb5a2f9c ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=5ms
2024-03-07T00:27:17.751+01:00 r=9eaaf4dcda8b ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:27:17.753+01:00 r=9eaaf4dcda8b ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-9] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
